ID,QUESTION,LEVEL,CORRECT ANSWER,EXPLANATION,OPTION A,OPTION B,OPTION C,OPTION D
1,What is the force that pulls objects towards the center of the Earth?,1,Gravity,Gravity is the force that pulls objects towards the center of the Earth.,Gravity ,Magnetism,Friction,Wind
2,Which layer of the Earth is made up of solid rock and is located beneath the Earth's crust?,1,Mantle ,The Mantle is located beneath the Earth's crust and is made up of solid rock.,Mantle ,Core,Crust,Atmosphere
3,What is the largest planet in our solar system?,1,Jupiter ,Jupiter is the largest planet in our solar system.,Earth,Mars,Jupiter ,Saturn
4,Which of the following animals is a mammal?,2,Dolphin,A Dolphin is a mammal.,Lizard,Fish,Dolphin,Turtle
5,What is a computer's primary function?,2,Storing and processing information,A computer's primary function is storing and processing information.,Making phone calls,Playing music,Storing and processing information,Baking cookies
6,Which gas do plants absorb from the air to make their food through photosynthesis?,2,Carbon dioxide ,Plants absorb Carbon dioxide from the air to make their food through photosynthesis.,Oxygen,Nitrogen,Carbon dioxide ,Hydrogen
7,What causes earthquakes?,3, Shifting tectonic plates,Earthquakes are caused by shifting tectonic plates.,Volcanic eruptions, Shifting tectonic plates,Heavy rain, Strong winds
8,Which celestial body orbits the Earth and is responsible for causing ocean tides?,3,Moon,The Moon orbits the Earth and is responsible for causing ocean tides.,Sun,Moon,Mars,Jupiter
9,Which part of a plant is responsible for taking in water and nutrients from the soil?,3,Roots,Roots of a plant are responsible for taking in water and nutrients from the soil.,Leaves,Roots,Flowers,Stem
10,What is a computer virus?,4,A malicious software that can harm a computer ,A computer virus is a malicious software that can harm a computer.,A helpful program,A type of food,A malicious software that can harm a computer ,A computer repair tool
11,"What is the process by which plants make their own food using sunlight, carbon dioxide, and water?",4,Photosynthesis,"Photosynthesis is the process by which plants make their own food using sunlight, carbon dioxide, and water.",Respiration,Reproduction,Photosynthesis,Digestion
12,Which natural disaster is characterized by the sudden shaking of the Earth's surface?,4,Earthquake,Earthquakes are characterized by the sudden shaking of the Earth's surface.,Tornado,Hurricane,Earthquake,Flood
13,What is a shooting star or a streak of light in the night sky when a small piece of space rock enters Earth's atmosphere and burns up?,5,Meteor,A Meteor is a streak of light in the night sky when a small piece of space rock enters Earth's atmosphere and burns up.,Meteor,Comet,Satellite,Planet
14,Which part of the body is responsible for pumping blood and circulating it throughout the body?,5,Heart,The Heart is responsible for pumping blood and circulating it throughout the body.,Lungs,Liver,Heart,Brain
15, What do we call a set of instructions that a computer can follow to perform a specific task?,5,Algorithm,An Algorithm is a set of instructions that a computer can follow to perform a specific task.,Recipe,Algorithm,Blueprint,Puzzle
16,What is the primary gas in the Earth's atmosphere that we breathe?,6, Nitrogen,The primary gas in the Earth's atmosphere that we breathe is Nitrogen., Carbon dioxide, Nitrogen,Oxygen,Hydrogen
17,"Which natural disaster is a violent tropical storm with strong winds and heavy rain, often forming over the ocean?",6,Hurricane,"A Hurricane is a violent tropical storm with strong winds and heavy rain, often forming over the ocean.",Earthquake,Tornado,Hurricane,Tsunami
18,"What is the name of the spacecraft that carried astronauts to the moon in 1969, with Neil Armstrong becoming the first human to walk on the moon's surface?",6,Apollo 11,"Apollo 11 is the spacecraft that carried astronauts to the moon in 1969, with Neil Armstrong becoming the first human to walk on the moon's surface.",Apollo 11,Voyager 1,Hubble,Mars Rover
19,What is the green pigment in plant cells that helps them capture light energy for photosynthesis?,7,Chlorophyll,Chlorophyll is the green pigment in plant cells that helps them capture light energy for photosynthesis.,Melanin,Chlorophyll,Hemoglobin,Keratin
20,What is a software application that allows you to browse and search the World Wide Web?,7, Web browser,A Web browser is a software application that allows you to browse and search the World Wide Web.,Calculator, Web browser,Video game,Music player
21,What gas do humans breathe out when they exhale?,7,Carbon dioxide,Humans breathe out Carbon dioxide when they exhale.,Oxygen,Carbon dioxide,Nitrogen,Hydrogen
22,What is the term for a software program that displays advertisements on a computer or mobile device?,8,Adware,Adware is a software program that displays advertisements on a computer or mobile device.,Adware,Firewall,Antivirus,Browser
23,"Which planet in our solar system is known as the ""Red Planet""?",8,Mars,"Mars is known as the ""Red Planet.""",Venus,Earth,Mars,Jupiter
24,What is the process by which plants make new plants or seeds?,8,Reproduction,Reproduction is the process by which plants make new plants or seeds.,Photosynthesis,Respiration,Reproduction,Digestion
25,What is a computer's main processing unit where calculations and data manipulation take place?,9,Central Processing Unit (CPU),"The Central Processing Unit (CPU) is the computer's main processing unit, where calculations and data manipulation take place.",Monitor,Keyboard,Central Processing Unit (CPU),Printer
26,Which of the following is a primary color used in color mixing?,9,Red,Red is a primary color used in color mixing.,Green,Red,Black,White
27,"What is the process of water turning into vapor, often due to heat from the sun?",9,Evaporation,"Evaporation is the process of water turning into vapor, often due to heat from the sun.",Condensation,Evaporation,Precipitation,Sublimation
28,What is the largest moon of Jupiter and one of the most volcanically active objects in the solar system?,10,Io,Io is the largest moon of Jupiter and one of the most volcanically active objects in the solar system.,Europa,Ganymede,Io,Callisto
29,"What is the name of the hard, outermost part of a tree that protects it and provides support?",10,Bark,"Bark is the hard, outermost part of a tree that protects it and provides support.",Bark,Leaf,Root,Flower
30,Which technology allows computers and other devices to connect and communicate with each other over short distances?,10,Bluetooth,Bluetooth is the technology that allows computers and other devices to connect and communicate with each other over short distances.,Wi-Fi,Bluetooth,GPS,Ethernet
31,What is the process by which plants use sunlight to convert carbon dioxide and water into sugar and oxygen?,11,Photosynthesis,Photosynthesis is the process by which plants use sunlight to convert carbon dioxide and water into sugar and oxygen.,Photosynthesis,Respiration,Digestion,Fermentation
32,"What is the term for a large, powerful windstorm that forms over warm ocean waters and can cause widespread damage when it makes landfall?",11,Hurricane,"A Hurricane is a large, powerful windstorm that forms over warm ocean waters and can cause widespread damage when it makes landfall.",Blizzard,Tornado,Hurricane,Monsoon
33,Which natural satellite of Earth is responsible for causing ocean tides?,11,Moon,The Moon is the natural satellite of Earth responsible for causing ocean tides.,Phobos,Luna,Titan,Moon
34,What is the largest organ in the human body?,12,Skin,Skin is the largest organ in the human body.,Brain,Heart,Skin,Liver
35,"Which type of software is designed to protect a computer from viruses, malware, and other security threats?",12,Antivirus software,"Antivirus software is designed to protect a computer from viruses, malware, and other security threats.",Operating system,Web Browser,Antivirus software,Office suite
36,What gas do plants release into the air as a byproduct of photosynthesis?,12,Oxygen,Plants release oxygen into the air as a byproduct of photosynthesis.,Oxygen, Carbon dioxide,Nitrogen,Hyrogen
37,Which of the following is a type of sedimentary rock that forms from the accumulation of organic material?,13,Limestone,Limestone is a type of sedimentary rock that forms from the accumulation of organic material.,Granite,Marble,Limestone,Basalt
38,"Which planet is known as the ""Morning Star"" when it appears in the eastern sky just before sunrise?",13,Venus,"Venus is known as the ""Morning Star"" when it appears in the eastern sky just before sunrise.",Venus,Mars,Jupiter,Saturn
39,"Which part of a plant is responsible for the process of transpiration, where water is released into the atmosphere?",13,Leaves,"Leaves are responsible for the process of transpiration, where water is released into the atmosphere.",Leaves,Roots,Stems,Flowers
40,What gas is necessary for combustion (burning) to occur?,14,Oxygen,Oxygen is necessary for combustion (burning) to occur.,Oxygen,Carbon dioxide,Nitrogen,Hydrogen
41,"What is the process by which an organism's DNA is copied to create a new, identical DNA molecule?",14,DNA replication,"DNA replication is the process by which an organism's DNA is copied to create a new, identical DNA molecule.",Mutation,Reproduction,Photosynthesis,DNA replication
42," What is the term for a computer program that performs a specific task or set of tasks, such as word processing or spreadsheet calculations?",14,Application software,"Application software is a computer program that performs a specific task or set of tasks, such as word processing or spreadsheet calculations.",Operating system,Application software,Hardware,Firewall
43,What is the Earth's largest ocean?,15,Pacific Ocean,The Earth's largest ocean is the Pacific Ocean.,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean
44,What type of rock is formed from the cooling and solidification of molten magma or lava?,15,Igneous,Igneous rock is formed from the cooling and solidification of molten magma or lava.,Sedimentary,Igneous,Metamorphic,Fossilized
45,Which planet is known for its prominent ring system?,15,Saturn,Saturn is known for its prominent ring system.,Mars,Venus,Saturn,Uranus
46,"What is the powerhouse of the cell, responsible for producing energy?",16,Mitochondria,"The mitochondria is the powerhouse of the cell, responsible for producing energy.",Nucleus,Ribosome,Mitochondria,Chloroplast
47,What is the term for a computer program or hardware device that blocks unauthorized access to a network or computer system?,16,Firewall,A firewall is a computer program or hardware device that blocks unauthorized access to a network or computer system.,Antivirus,Router,Firewall,Browser
48,What is the chemical symbol for the element oxygen?,16,O,The chemical symbol for the element oxygen is O.,Ox,O2,Oxg,O
49,Which natural event occurs when a large volume of earth slides downhill due to gravity?,17,Landslide,A landslide occurs when a large volume of earth slides downhill due to gravity.,Volcano eruption,Earthquake,Landslide,Tornado
50,Which organ in the human body is responsible for filtering waste and excess substances from the blood?,17,Kidneys,The kidneys are responsible for filtering waste and excess substances from the blood.,Liver,Lungs, Kidneys,Heart
51,"What is the term for a collection of data that is organized, structured, and can be easily accessed and manipulated?",17,Database,"A database is a collection of data that is organized, structured, and can be easily accessed and manipulated.",Spreadsheet,Database,File,Algorithm
52,What gas do plants release into the air during the night as part of the respiration process?,18,Carbon dioxide,Plants release carbon dioxide into the air during the night as part of the respiration process.,Carbon dioxide,Oxygen,Nitrogen,Helium
53,Which layer of the Earth is the thinnest and composed of solid rock?,18,Crust,The crust is the thinnest layer of the Earth and is composed of solid rock.,Crust,Mantle,Core,Atmosphere
54,"What is the term for a large group of stars, gas, dust, and dark matter bound together by gravity?",18,Galaxy,"A galaxy is a large group of stars, gas, dust, and dark matter bound together by gravity.",Galaxy,Nebula,Solar System,Comet
55,Which gas do humans inhale when they breathe?,19,Oxygen,Humans inhale oxygen when they breathe.,Oxygen,Carbon dioxide,Nitrogen,Chlorine
56,"What is the term for a computer program designed to replicate itself and spread to other devices, often causing harm?",19,Virus,"A virus is a computer program designed to replicate itself and spread to other devices, often causing harm.",Firewall,Virus,Software,Router
57,"What is the process by which water changes from a liquid to a gas, often due to heating?",19,Evaporation,"Evaporation is the process by which water changes from a liquid to a gas, often due to heating.",Evaporation,Precipitation,Condensation,Sublimation
58,"Which gas is most abundant in Earth's atmosphere, making up about 78% of it?",20,Nitrogen,"Nitrogen is the most abundant gas in Earth's atmosphere, making up about 78% of it.",Carbon dioxide,Oxygen,Nitrogen,Argon
59,What type of rock is formed from the alteration of pre-existing rocks due to heat and pressure?,20,Metamorphic,Metamorphic rock is formed from the alteration of pre-existing rocks due to heat and pressure.,Sedimentary,Igneous,Metamorphic,Lava rock
60,"What is the term for a celestial event in which the Earth passes directly between the Sun and the Moon, casting a shadow on the Moon's surface?",20,Lunar eclipse,"A lunar eclipse is a celestial event in which the Earth passes directly between the Sun and the Moon, casting a shadow on the Moon's surface.",Solar eclipse,Lunar eclipse,Comet,Supernova
61,What is the term for a type of malware that locks a computer or its files and demands a ransom to unlock them?,21,Ransomware,Ransomware is a type of malware that locks a computer or its files and demands a ransom to unlock them.,Virus,Worm,Ransomware,Trojan horse
62,"Which natural event occurs when hot molten rock, ash, and gases escape from an erupting volcano?",21,Volcanic eruption,"A volcanic eruption occurs when hot molten rock, ash, and gases escape from an erupting volcano.",Tornado,Hurricane,Earthquake,Volcanic eruption
63,What is the main function of red blood cells in the human body?,21,Carrying oxygen,The main function of red blood cells in the human body is carrying oxygen.,Carrying oxygen,Fighting infections,Digesting food,Storing energy
64,What is the term for a type of computer program that mimics human conversation and can interact with users?,22,Chatbot,A chatbot is a computer program that mimics human conversation and can interact with users.,Spreadsheet,Word processor,Chatbot,Antivirus
